problem_id,problem_family,variant_type,model,raw_response,behavioral_correct
BW_155,blocksworld,canonical,mock,The answer is 42.,False
BW_010,blocksworld,canonical,mock,The answer is 42.,False
BW_001,blocksworld,canonical,mock,The answer is 42.,False
BW_011,blocksworld,canonical,mock,The answer is 42.,False
BW_120,blocksworld,canonical,mock,The answer is 42.,False
BW_227,blocksworld,canonical,mock,The answer is 42.,False
BW_137,blocksworld,canonical,mock,The answer is 42.,False
BW_172,blocksworld,canonical,mock,The answer is 42.,False
BW_467,blocksworld,canonical,mock,The answer is 42.,False
BW_080,blocksworld,canonical,mock,The answer is 42.,False
MBW_001,mystery_blocksworld,canonical,mock,The answer is 42.,False
MBW_100,mystery_blocksworld,canonical,mock,The answer is 42.,False
MBW_127,mystery_blocksworld,canonical,mock,The answer is 42.,False
MBW_185,mystery_blocksworld,canonical,mock,The answer is 42.,False
MBW_10,mystery_blocksworld,canonical,mock,The answer is 42.,False
BW_155,blocksworld,canonical,anthropic/claude-3.7-sonnet,"1. pick-up i
2. pick-up f
3. stack i f
4. pick-up e
5. stack f e
6. pick-up j
7. stack e j
8. pick-up h
9. stack j h",False
BW_155,blocksworld,canonical,openai/gpt-4o,"1. pick-up i
2. stack i f
3. pick-up f
4. stack f e
5. pick-up e
6. stack e j
7. pick-up j
8. stack j h",False
BW_155,blocksworld,canonical,meta-llama/llama-3.1-8b-instruct,"1. pick-up i
2. stack i f
3. put-down i
4. pick-up f
5. stack f e
6. put-down f
7. pick-up e
8. stack e j
9. put-down e
10. pick-up j
11. stack j h
12. put-down j",False
BW_010,blocksworld,canonical,openai/gpt-4o,"1. pick-up d  
2. stack d e  
3. pick-up e  
4. stack e a  
5. pick-up a  
6. stack a b  
7. pick-up b  
8. stack b f",False
BW_001,blocksworld,canonical,openai/gpt-4o,"1. pick-up j
2. stack j f
3. pick-up f
4. stack f i
5. pick-up i
6. stack i g
7. pick-up g
8. stack g d
9. pick-up d
10. stack d b
11. pick-up b
12. stack b h
13. pick-up h
14. stack h l",False
BW_011,blocksworld,canonical,openai/gpt-4o,"1. pick-up c
2. stack c k
3. pick-up k
4. stack k g
5. pick-up g
6. stack g a
7. pick-up a
8. stack a l
9. pick-up l
10. stack l j
11. pick-up j
12. stack j e
13. pick-up e
14. stack e h
15. pick-up h
16. stack h i
17. pick-up i
18. stack i b",False
BW_120,blocksworld,canonical,openai/gpt-4o,"1. pick-up c  
2. stack c j  
3. pick-up j  
4. stack j g  
5. pick-up g  
6. stack g f  ",False
BW_227,blocksworld,canonical,openai/gpt-4o,"1. pick-up f
2. stack f l
3. pick-up l
4. stack l g
5. pick-up g
6. stack g d
7. pick-up d
8. stack d i
9. pick-up i
10. stack i j
11. pick-up j
12. stack j c
13. pick-up c
14. stack c k
15. pick-up k
16. stack k a",False
BW_137,blocksworld,canonical,openai/gpt-4o,"1. pick-up d
2. stack d a
3. pick-up a
4. stack a b
5. pick-up b
6. stack b j
7. pick-up j
8. stack j e
9. pick-up e
10. stack e l
11. pick-up l
12. stack l h
13. pick-up h
14. stack h c
15. pick-up c
16. stack c f
17. pick-up f
18. stack f g
19. pick-up g
20. stack g i",False
BW_172,blocksworld,canonical,openai/gpt-4o,"1. pick-up i
2. stack i l
3. pick-up l
4. stack l g
5. pick-up g
6. stack g e
7. pick-up e
8. stack e d
9. pick-up d
10. stack d b
11. pick-up b
12. stack b a
13. pick-up a
14. stack a j
15. pick-up j
16. stack j h
17. pick-up h
18. stack h f
19. pick-up f
20. stack f k",False
BW_467,blocksworld,canonical,openai/gpt-4o,"1. pick-up g
2. stack g i
3. pick-up i
4. stack i l
5. pick-up l
6. stack l j
7. pick-up j
8. stack j a
9. pick-up a
10. stack a f
11. pick-up f
12. stack f h",False
BW_080,blocksworld,canonical,openai/gpt-4o,"1. pick-up l
2. stack l c
3. pick-up c
4. stack c i
5. pick-up i
6. stack i e
7. pick-up e
8. stack e j
9. pick-up j
10. stack j f",False
BW_010,blocksworld,canonical,meta-llama/llama-3.1-8b-instruct,"1. pick-up d
2. stack d e
3. pick-up e
4. stack e a
5. pick-up a
6. stack a b",False
BW_001,blocksworld,canonical,meta-llama/llama-3.1-8b-instruct,"1. pick-up l 
2. stack l h 
3. pick-up h 
4. stack h b 
5. pick-up b 
6. stack b d 
7. pick-up d 
8. stack d g 
9. pick-up g 
10. stack g i 
11. pick-up i 
12. stack i f 
13. pick-up f 
14. stack f j",False
BW_011,blocksworld,canonical,meta-llama/llama-3.1-8b-instruct,"1. stack e l
2. pick-up e
3. stack e k
4. pick-up k
5. stack a k
6. pick-up a
7. stack g a
8. pick-up g
9. stack k g
10. pick-up k
11. stack c k
12. put-down c
13. pick-up b
14. stack i b
15. pick-up i
16. stack h i
17. pick-up h
18. stack e h
19. put-down e
20. pick-up d (j does not exist and it would be necessary to perform another move to put-down c, so I assume that the response you want is by item and assumes the correct order for the blocks)",False
BW_120,blocksworld,canonical,meta-llama/llama-3.1-8b-instruct,"1. Pick-up c
2. Pick-up j
3. Stack j c
4. Stack j g
5. Stack g f
6. Unstack g j 
7. Put-down j
8. Unstack j c 
9. Put-down c",False
BW_227,blocksworld,canonical,meta-llama/llama-3.1-8b-instruct,"1. pick-up f
2. stack f l
3. pick-up l
4. stack l g
5. pick-up g
6. stack g d
7. pick-up d
8. stack d i
9. pick-up i
10. stack i j
11. pick-up j
12. stack j c
13. pick-up c
14. stack c k
15. pick-up k
16. stack k a",False
BW_137,blocksworld,canonical,meta-llama/llama-3.1-8b-instruct,"1. pick-up a
2. stack d a
3. pick-up b
4. stack a b
5. pick-up j
6. stack b j
7. pick-up e
8. stack j e
9. pick-up l
10. stack e l
11. pick-up h
12. stack l h
13. pick-up c
14. stack h c
15. pick-up f
16. stack c f
17. pick-up g
18. stack f g
19. pick-up i
20. stack g i",False
BW_172,blocksworld,canonical,meta-llama/llama-3.1-8b-instruct,"1. pick-up i
2. stack i l
3. pick-up l
4. stack l g
5. pick-up g
6. stack g e
7. pick-up e
8. stack e d
9. pick-up d
10. stack d b
11. pick-up b
12. stack b a
13. pick-up a
14. stack a j
15. pick-up j
16. stack j h
17. pick-up h
18. stack h f
19. pick-up f
20. stack f k",False
BW_467,blocksworld,canonical,meta-llama/llama-3.1-8b-instruct,"1. pick-up g
2. stack g i
3. pick-up i
4. stack i l
5. pick-up l
6. stack l j
7. pick-up j
8. stack j a
9. pick-up a
10. stack a f
11. pick-up f
12. stack f h",False
BW_080,blocksworld,canonical,meta-llama/llama-3.1-8b-instruct,"1. pick-up l
2. stack l c
3. pick-up c
4. stack c i
5. pick-up i
6. stack i e
7. pick-up e
8. stack e j
9. pick-up j
10. stack j f",False
MBW_001,mystery_blocksworld,canonical,openai/gpt-4o,"1. Feast j f
2. Feast f i
3. Feast i g
4. Feast g d
5. Feast d b
6. Feast b h
7. Feast h l",False
