family,model,n,spearman_rho,ci_low,ci_high,p_value,subset,y,contamination_column,bootstrap,n_boot,seed,note
GSM,Claude,37,-0.0892,-0.3722,0.1984,0.5995,canonical_correct_only,w3_retained,contamination_score,cluster_by_problem_id,5000,42,
GSM,GPT-4o,17,0.1581,-0.3155,0.5828,0.5445,canonical_correct_only,w3_retained,contamination_score,cluster_by_problem_id,5000,42,
GSM,Gemini,40,-0.0499,-0.3503,0.2791,0.7597,canonical_correct_only,w3_retained,contamination_score,cluster_by_problem_id,5000,42,
GSM,Llama,16,0.1911,-0.2966,0.611,0.4785,canonical_correct_only,w3_retained,contamination_score,cluster_by_problem_id,5000,42,
GSM,o4-mini,37,0.1848,-0.0626,0.4459,0.2735,canonical_correct_only,w3_retained,contamination_score,cluster_by_problem_id,5000,42,
ALGO,Claude,68,0.2474,-0.3457,0.668,0.042,canonical_correct_only,w3_retained,contamination_score,cluster_by_clone_family,5000,42,
ALGO,GPT-4o,43,-0.0283,-0.4137,0.335,0.857,canonical_correct_only,w3_retained,contamination_score,cluster_by_clone_family,5000,42,
ALGO,Gemini,51,0.3932,-0.0568,0.5966,0.0043,canonical_correct_only,w3_retained,contamination_score,cluster_by_clone_family,5000,42,
ALGO,Llama,5,,,,,canonical_correct_only,w3_retained,contamination_score,cluster_by_clone_family,5000,42,insufficient variation in retention or contamination
ALGO,o4-mini,81,0.129,-0.2055,0.4027,0.251,canonical_correct_only,w3_retained,contamination_score,cluster_by_clone_family,5000,42,
BW,Claude,11,-0.4147,-0.8024,0.1206,0.2048,canonical_correct_only,w3_retained,contamination_score,cluster_by_problem_id,5000,42,
BW,Gemini,25,0.2546,-0.0997,0.566,0.2194,canonical_correct_only,w3_retained,contamination_score,cluster_by_problem_id,5000,42,
BW,deepseek/deepseek-r1-distill-llama-70b,35,0.521,0.2207,0.7437,0.0013,canonical_correct_only,w3_retained,contamination_score,cluster_by_problem_id,5000,42,
BW,o4-mini,50,0.4728,0.2344,0.6717,0.0005,canonical_correct_only,w3_retained,contamination_score,cluster_by_problem_id,5000,42,
